model_prefix,counts,total_failures,year
DELLBOSS,302,0,2019
HGST,365,116,2019
WDC,365,14,2019
Others,364,0,2019
TOSHIBA,365,111,2019
Seagate,365,1985,2019
DELLBOSS,366,0,2020
HGST,366,112,2020
WDC,366,12,2020
Others,366,0,2020
TOSHIBA,366,228,2020
Seagate,366,1143,2020
DELLBOSS,365,0,2021
CT,46,2,2021
HGST,365,150,2021
WDC,365,41,2021
Others,365,117,2021
TOSHIBA,365,430,2021
Seagate,365,1418,2021
DELLBOSS,365,0,2022
CT,365,3,2022
HGST,365,279,2022
WDC,365,32,2022
Others,364,2,2022
TOSHIBA,365,609,2022
Seagate,365,2233,2022
DELLBOSS,273,0,2023
CT,273,5,2023
HGST,273,430,2023
WDC,273,75,2023
Others,273,12,2023
TOSHIBA,273,508,2023
Seagate,273,2270,2023
